id,from,to,net,locked,signal,length_um,_text_encoding
CORE:s1:1,CORE:pad:1,CORE:bump:1,,false,GND,120,apostrophe-v1
CORE:s2:1,CORE:bump:1,CORE:interposer:1,,false,GND,220,apostrophe-v1
CORE:s4:1,CORE:ball:1,CORE:pcb:1,,false,GND,340,apostrophe-v1
CORE:s1:2,CORE:pad:2,CORE:bump:2,,false,CORE_CLK,120,apostrophe-v1
CORE:s2:2,CORE:bump:2,CORE:interposer:2,,false,CORE_CLK,220,apostrophe-v1
CORE:s4:2,CORE:ball:2,CORE:pcb:2,,false,CORE_CLK,340,apostrophe-v1
CORE:s1:3,CORE:pad:3,CORE:bump:3,,false,GND,120,apostrophe-v1
CORE:s2:3,CORE:bump:3,CORE:interposer:3,,false,GND,220,apostrophe-v1
CORE:s4:3,CORE:ball:3,CORE:pcb:3,,false,GND,340,apostrophe-v1
CORE:s1:4,CORE:pad:4,CORE:bump:4,,false,VDD_CORE,120,apostrophe-v1
CORE:s2:4,CORE:bump:4,CORE:interposer:4,,false,VDD_CORE,220,apostrophe-v1
CORE:s4:4,CORE:ball:4,CORE:pcb:4,,false,VDD_CORE,340,apostrophe-v1
CORE:s1:5,CORE:pad:5,CORE:bump:5,,false,CORE_TX_P,120,apostrophe-v1
CORE:s2:5,CORE:bump:5,CORE:interposer:5,,false,CORE_TX_P,220,apostrophe-v1
CORE:s4:5,CORE:ball:5,CORE:pcb:5,,false,CORE_TX_P,340,apostrophe-v1
CORE:s1:6,CORE:pad:6,CORE:bump:6,,false,CORE_TX_N,120,apostrophe-v1
CORE:s2:6,CORE:bump:6,CORE:interposer:6,,false,CORE_TX_N,220,apostrophe-v1
CORE:s4:6,CORE:ball:6,CORE:pcb:6,,false,CORE_TX_N,340,apostrophe-v1
CORE:s1:7,CORE:pad:7,CORE:bump:7,,false,GND,120,apostrophe-v1
CORE:s2:7,CORE:bump:7,CORE:interposer:7,,false,GND,220,apostrophe-v1
CORE:s4:7,CORE:ball:7,CORE:pcb:7,,false,GND,340,apostrophe-v1
CORE:s1:8,CORE:pad:8,CORE:bump:8,,false,VDD_CORE,120,apostrophe-v1
CORE:s2:8,CORE:bump:8,CORE:interposer:8,,false,VDD_CORE,220,apostrophe-v1
CORE:s4:8,CORE:ball:8,CORE:pcb:8,,false,VDD_CORE,340,apostrophe-v1
CORE:s1:9,CORE:pad:9,CORE:bump:9,,false,CORE_DATA0,120,apostrophe-v1
CORE:s2:9,CORE:bump:9,CORE:interposer:9,,false,CORE_DATA0,220,apostrophe-v1
CORE:s4:9,CORE:ball:9,CORE:pcb:9,,false,CORE_DATA0,340,apostrophe-v1
CORE:s1:10,CORE:pad:10,CORE:bump:10,,false,CORE_DATA1,120,apostrophe-v1
CORE:s2:10,CORE:bump:10,CORE:interposer:10,,false,CORE_DATA1,220,apostrophe-v1
CORE:s4:10,CORE:ball:10,CORE:pcb:10,,false,CORE_DATA1,340,apostrophe-v1
CORE:s1:11,CORE:pad:11,CORE:bump:11,,false,GND,120,apostrophe-v1
CORE:s2:11,CORE:bump:11,CORE:interposer:11,,false,GND,220,apostrophe-v1
CORE:s4:11,CORE:ball:11,CORE:pcb:11,,false,GND,340,apostrophe-v1
CORE:s1:12,CORE:pad:12,CORE:bump:12,,false,VDD_CORE,120,apostrophe-v1
CORE:s2:12,CORE:bump:12,CORE:interposer:12,,false,VDD_CORE,220,apostrophe-v1
CORE:s4:12,CORE:ball:12,CORE:pcb:12,,false,VDD_CORE,340,apostrophe-v1
IO:s1:1,IO:pad:1,IO:bump:1,,false,GND,120,apostrophe-v1
IO:s2:1,IO:bump:1,IO:interposer:1,,false,GND,340,apostrophe-v1
IO:s4:1,IO:ball:1,IO:pcb:1,,false,GND,340,apostrophe-v1
IO:s1:2,IO:pad:2,IO:bump:2,,false,IO_CLK,120,apostrophe-v1
IO:s2:2,IO:bump:2,IO:interposer:2,,false,IO_CLK,340,apostrophe-v1
IO:s4:2,IO:ball:2,IO:pcb:2,,false,IO_CLK,340,apostrophe-v1
IO:s1:3,IO:pad:3,IO:bump:3,,false,GND,120,apostrophe-v1
