id,label,kind,dieId,x,y,net,domain,role,pair,polarity,locked,required,units,_text_encoding
CORE:pad:1,GND,pad,CORE,350,350,GND,GND,ground,,,false,true,um,apostrophe-v1
CORE:bump:1,C1,bump,CORE,410,410,GND,GND,ground,,,false,false,um,apostrophe-v1
CORE:interposer:1,C1,interposer,,710,830,GND,GND,ground,,,false,false,um,apostrophe-v1
CORE:ball:1,C1,ball,,870,1010,GND,GND,ground,,,false,false,um,apostrophe-v1
CORE:pcb:1,C1,pcb,,1030,1190,GND,GND,ground,,,false,true,um,apostrophe-v1
CORE:pad:2,CORE_CLK,pad,CORE,850,350,CORE_CLK,CORE,clock,,,false,true,um,apostrophe-v1
CORE:bump:2,C2,bump,CORE,910,410,,CORE,clock,,,false,false,um,apostrophe-v1
CORE:interposer:2,C2,interposer,,1210,830,,CORE,clock,,,false,false,um,apostrophe-v1
CORE:ball:2,C2,ball,,1370,1010,,CORE,clock,,,false,false,um,apostrophe-v1
CORE:pcb:2,C2,pcb,,1530,1190,,CORE,clock,,,false,true,um,apostrophe-v1
CORE:pad:3,GND,pad,CORE,1350,350,GND,GND,ground,,,false,true,um,apostrophe-v1
CORE:bump:3,C3,bump,CORE,1410,410,GND,GND,ground,,,false,false,um,apostrophe-v1
CORE:interposer:3,C3,interposer,,1710,830,GND,GND,ground,,,false,false,um,apostrophe-v1
CORE:ball:3,C3,ball,,1870,1010,GND,GND,ground,,,false,false,um,apostrophe-v1
CORE:pcb:3,C3,pcb,,2030,1190,GND,GND,ground,,,false,true,um,apostrophe-v1
CORE:pad:4,VDD_CORE,pad,CORE,1850,350,VDD_CORE,CORE,power,,,false,true,um,apostrophe-v1
CORE:bump:4,C4,bump,CORE,1910,410,,CORE,power,,,false,false,um,apostrophe-v1
CORE:interposer:4,C4,interposer,,2210,830,,CORE,power,,,false,false,um,apostrophe-v1
CORE:ball:4,C4,ball,,2370,1010,,CORE,power,,,false,false,um,apostrophe-v1
CORE:pcb:4,C4,pcb,,2530,1190,,CORE,power,,,false,true,um,apostrophe-v1
CORE:pad:5,CORE_TX_P,pad,CORE,350,1050,CORE_TX_P,CORE,signal,CORE_TX,'+,false,true,um,apostrophe-v1
